run_id,coating_gap,position,frame_number,defect_ratio,moving_average,ewma,ucl,center,label_crack,label_delam,label_pinhole
R1,600,top-to-bottom-center,104,0.1,0.0495,0.0538,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,114,0.0286,0.0467,0.0488,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,114,0.0143,0.0476,0.0419,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,119,0.0143,0.0476,0.0363,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,127,0.0,0.0457,0.0291,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0,0.041,0.0233,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.1143,0.0476,0.0415,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0143,0.0457,0.036,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,140,0.0,0.0343,0.0288,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,140,0.0143,0.0333,0.0259,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.0143,0.0305,0.0236,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.0286,0.0286,0.0246,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,143,0.1429,0.0362,0.0482,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,143,0.0143,0.0352,0.0414,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,143,0.0,0.0333,0.0332,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0857,0.0324,0.0437,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0429,0.0333,0.0435,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,152,0.0286,0.0343,0.0405,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0,0.0333,0.0324,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,165,0.0286,0.0352,0.0316,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0143,0.0362,0.0282,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,165,0.0571,0.0324,0.034,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,174,0.0429,0.0343,0.0357,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,174,0.0429,0.0371,0.0372,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,174,0.0143,0.0371,0.0326,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0286,0.0381,0.0318,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0857,0.0419,0.0426,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,182,0.0571,0.0362,0.0455,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0143,0.0362,0.0392,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0,0.0362,0.0314,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,199,0.0286,0.0324,0.0308,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0429,0.0324,0.0332,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,199,0.0143,0.0314,0.0294,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,201,0.0,0.0314,0.0236,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,201,0.0143,0.0305,0.0217,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,201,0.0143,0.0305,0.0202,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,201,0.0143,0.0276,0.019,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,201,0.0286,0.0267,0.0209,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,203,0.0143,0.0248,0.0196,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,203,0.0143,0.0248,0.0185,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,203,0.0143,0.0238,0.0177,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,203,0.0143,0.019,0.017,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,203,0.0286,0.0171,0.0193,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,222,0.0143,0.0171,0.0183,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,222,0.0429,0.02,0.0232,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,237,0.0286,0.02,0.0243,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,237,0.0286,0.019,0.0251,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,271,0.0429,0.021,0.0287,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,271,0.0,0.021,0.023,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,274,0.0,0.02,0.0184,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,274,0.0286,0.021,0.0204,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,274,0.0,0.02,0.0163,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,279,0.0143,0.019,0.0159,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,279,0.0,0.0181,0.0127,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,299,0.0286,0.019,0.0159,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,308,0.0429,0.021,0.0213,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,311,0.0286,0.0219,0.0227,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,311,0.0429,0.0229,0.0268,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,314,0.0286,0.0238,0.0271,0.1752,0.0418,0,0,1
R1,600,top-to-bottom-center,314,0.0429,0.0238,0.0303,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,356,0.2429,0.0381,0.0728,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,356,0.6286,0.0781,0.1839,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,356,0.7857,0.1276,0.3043,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,356,0.4429,0.1571,0.332,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,356,0.8429,0.2133,0.4342,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,356,0.5143,0.2457,0.4502,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,356,0.0143,0.2467,0.363,0.1752,0.0418,0,0,0
R1,600,top-to-bottom-center,372,0.6429,0.2886,0.419,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,372,0.6286,0.3305,0.4609,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.3,0.3486,0.4287,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.3,0.3657,0.403,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.5714,0.4019,0.4367,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.6286,0.441,0.475,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.6143,0.48,0.5029,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.5857,0.5162,0.5195,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,372,0.7714,0.5514,0.5699,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,376,0.5286,0.5448,0.5616,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.6571,0.5362,0.5807,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,376,0.7286,0.5552,0.6103,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,376,0.8429,0.5552,0.6568,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.5571,0.5581,0.6369,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.3714,0.5819,0.5838,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.7143,0.5867,0.6099,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.7571,0.5952,0.6393,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,376,0.4571,0.6057,0.6029,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.7571,0.6362,0.6337,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.1,0.6048,0.527,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.4857,0.5952,0.5187,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.3429,0.5771,0.4836,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.0714,0.5429,0.4011,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.2714,0.5095,0.3752,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,387,0.5714,0.5124,0.4144,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.3857,0.4943,0.4087,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,387,0.2286,0.461,0.3727,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.2286,0.42,0.3439,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.1,0.3895,0.2951,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.2,0.3781,0.2761,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,394,0.4429,0.36,0.3094,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.4429,0.339,0.3361,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.2714,0.3267,0.3232,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.2143,0.2905,0.3014,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,394,0.0571,0.2876,0.2525,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,403,0.0,0.2552,0.202,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,403,0.0429,0.2352,0.1702,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,403,0.1429,0.24,0.1647,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,407,0.1714,0.2333,0.1661,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,407,0.0571,0.199,0.1443,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.2,0.1867,0.1554,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.1286,0.18,0.1501,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.2857,0.1838,0.1772,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,408,0.0286,0.179,0.1475,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.2286,0.181,0.1637,0.1752,0.0418,1,0,1
R1,600,top-to-bottom-center,408,0.0571,0.1552,0.1424,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.0143,0.1267,0.1168,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,408,0.1714,0.12,0.1277,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.3571,0.1295,0.1736,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.2286,0.141,0.1846,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.3,0.161,0.2077,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.2,0.1714,0.2061,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.1,0.1686,0.1849,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.1,0.1638,0.1679,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.2714,0.1781,0.1886,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.3143,0.1857,0.2138,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,412,0.1,0.1838,0.191,0.1752,0.0418,1,0,0
R1,600,top-to-bottom-center,418,0.1286,0.1733,0.1785,0.1752,0.0418,1,0,0
